HISTORY_RCRD_ID,LAYER_RCRD_ID,HISTORY_ID,SILV_BASE_CD,START_YEAR,END_YEAR,LAYER_PCT 
198830,1151,1,,,,
198833,1153,1,,,,
198841,1155,1,,,,
198844,1156,1,,,,
198845,1157,1,,,,
198854,1158,1,,,,
198856,1159,1,,,,
198857,1160,1,,,,
198862,1161,1,,,,
198868,1162,1,,,,
198875,1164,1,,,,
198879,1165,1,,,,
198889,1166,1,,,,
198890,1167,1,,,,
198894,1168,1,,,,
198901,1169,1,,,,
198902,1170,1,,,,
198903,1171,1,,,,
198904,1172,1,,,,
198907,1173,1,,,,
206532,1175,1,,,,
206536,1176,1,,,,
206544,1177,1,,,,
206545,1178,1,,,,
206547,1179,1,,,,
206548,1180,1,,,,
206550,1181,1,,,,
206553,1182,1,,,,
206557,1183,1,"DI",,,
206559,1184,1,,,,
206567,1185,1,,,,
206568,1186,1,,,,
206575,1187,1,,,,
206576,1188,1,,,,
206583,1189,1,,,,
206584,1190,1,,,,
206587,1191,1,,,,
206589,1192,1,,,,
206606,1193,1,,,,
206607,1194,1,,,,
206612,1195,1,,,,
206614,1196,1,,,,
206615,1198,1,,,,
206618,1199,1,,,,
206619,1200,1,,,,
206621,1201,1,"DI",,,
206623,1202,1,,,,
206628,1203,1,,,,
206635,1204,1,,,,
206646,1205,1,,,,
206647,1206,1,,,,
206652,1207,1,,,,
206656,1208,1,,,,
206662,1209,1,,,,
206663,1210,1,,,,
206664,1211,1,,,,
206669,1212,1,,,,
206670,1213,1,,,,
206676,1215,1,,,,
206682,1216,1,,,,
206683,1217,1,,,,
206685,1218,1,,,,
206689,1219,1,,,,
206690,1220,1,,,,
206696,1221,1,,,,
206697,1223,1,,,,
206698,1224,1,,,,
206707,1225,1,,,,
206708,1226,1,,,,
206710,1227,1,,,,
206712,1228,1,,,,
206715,1229,1,,,,
206716,1230,1,,,,
206718,1231,1,,,,
206724,1232,1,,,,
206725,1233,1,,,,
206732,1234,1,,,,
206734,1235,1,,,,
206737,1236,1,,,,
206738,1237,1,,,,
206740,1238,1,,,,
206741,1239,1,,,,
206743,1240,1,,,,
206749,1241,1,,,,
206754,1242,1,,,,
206757,1243,1,,,,
206758,1244,1,,,,
206765,1245,1,,,,
206771,1246,1,,,,
206775,1247,1,,,,
206779,1248,1,,,,
206780,1249,1,,,,
206785,1250,1,,,,
206788,1251,1,,,,
206789,1252,1,,,,
206793,1253,1,,,,
206794,1254,1,,,,
206796,1255,1,,,,
206797,1256,1,,,,
206798,1257,1,,,,
