POLYGON_RCRD_ID,INVENTORY_STANDARD,MEASUREMENT_YEAR,FIZ,BEC_ZONE,PCT_STOCKABLE,NON_PROD_DESC,YIELD_FACTOR 
197653,"F",1987,,"AT",,,
197657,"F",1987,,"AT",,"NP",
197661,"F",1987,,"AT",,,
197663,"F",1987,,"AT",,,
197665,"F",1992,,"AT",,,
197670,"F",1987,,"AT",,"NP",
197680,"F",1992,,"AT",,,
197682,"F",1996,,"AT",,,
197684,"F",1987,,"AT",,,
197687,"F",1987,,"AT",,,
197692,"F",1987,,"AT",,,
197699,"F",1987,,"AT",,,
197706,"F",1987,,"AT",,"NP",
197707,"F",1987,,"AT",,,
197709,"F",1987,,"AT",,"NP",
197713,"F",1987,,"AT",,,
197716,"F",1987,,"AT",,,
197717,"F",1987,,"AT",,,
197725,"F",1987,,"AT",,,
197727,"F",1987,,"AT",,,
197731,"I",1987,,"AT",,,
197737,"F",2000,,"AT",,,
197744,"F",1987,,"AT",,,
197749,"F",1987,,"AT",,,
197757,"F",1987,,"AT",,,
197764,"F",1987,,"AT",,,
197768,"F",1997,,"AT",,,
197774,"F",1987,,"AT",,,
197776,"F",1992,,"AT",,,
197778,"F",1987,,"AT",,,
197779,"F",1987,,"AT",,,
197780,"F",1992,,"AT",,,
197781,"F",1987,,"AT",,"NP",
197785,"F",1987,,"AT",,"NP",
197793,"F",1987,,"AT",,,
197802,"F",1992,,"AT",,"NP",
197809,"F",1987,,"AT",,,
197818,"F",1987,,"AT",,,
197819,"F",1987,,"AT",,,
197821,"F",2000,,"AT",,,
197824,"F",1987,,"AT",,,
197835,"F",1995,,"AT",,,
197840,"F",1987,,"AT",,,
197843,"F",1987,,"AT",,,
