POLYGON_RCRD_ID,OTHER_VEG_ID,LAND_COVER_CD,LAND_COVER_PCT 
197142,1,"SH",5.000
197142,2,"HE",10.000
197142,3,"BR",0.000
197143,2,"HE",5.000
197143,3,"BR",0.000
197144,2,"HE",10.000
197144,3,"BR",0.000
197145,1,"SH",5.000
197145,2,"HE",10.000
197145,3,"BR",0.000
197146,1,"SH",5.000
197146,2,"HE",15.000
197146,3,"BR",10.000
197147,1,"SH",40.000
197147,2,"HE",40.000
197147,3,"BR",10.000
197148,1,"SH",5.000
197148,2,"HE",5.000
197148,3,"BR",0.000
197149,1,"SH",5.000
197149,2,"HE",10.000
197149,3,"BR",0.000
197150,1,"SH",5.000
197150,2,"HE",10.000
197150,3,"BR",5.000
197151,2,"HE",5.000
197151,3,"BR",0.000
197152,2,"HE",10.000
197152,3,"BR",0.000
197153,2,"HE",10.000
197153,3,"BR",0.000
197154,1,"SH",5.000
197154,2,"HE",10.000
197154,3,"BR",0.000
197155,1,"SH",10.000
197155,2,"HE",20.000
197155,3,"BR",0.000
197156,1,"SH",5.000
197156,2,"HE",30.000
197156,3,"BR",5.000
197157,1,"SH",5.000
197157,2,"HE",35.000
197157,3,"BR",0.000
197158,2,"HE",10.000
197158,3,"BR",0.000
197159,2,"HE",10.000
197159,3,"BR",0.000
197160,2,"HE",10.000
197160,3,"BR",0.000
197161,2,"HE",10.000
197161,3,"BR",0.000
197162,1,"SH",5.000
197162,2,"HE",25.000
197162,3,"BR",0.000
197163,1,"SH",5.000
197163,2,"HE",15.000
197163,3,"BR",0.000
197164,2,"HE",10.000
197164,3,"BR",0.000
197165,2,"HE",10.000
197165,3,"BR",0.000
197166,1,"SH",5.000
197166,2,"HE",35.000
197166,3,"BR",0.000
197167,1,"SH",5.000
197167,2,"HE",50.000
197167,3,"BR",0.000
197168,1,"SH",5.000
197168,2,"HE",30.000
197168,3,"BR",5.000
197169,1,"SH",10.000
197169,2,"HE",40.000
197169,3,"BR",5.000
197170,2,"HE",5.000
197170,3,"BR",0.000
197171,2,"HE",5.000
197171,3,"BR",0.000
197172,2,"HE",10.000
197172,3,"BR",0.000
197173,2,"HE",5.000
197173,3,"BR",0.000
197174,1,"SH",15.000
197174,2,"HE",40.000
197174,3,"BR",10.000
197176,1,"SH",5.000
197176,2,"HE",10.000
197176,3,"BR",0.000
197177,1,"SH",5.000
197177,2,"HE",40.000
197177,3,"BR",5.000
197178,2,"HE",10.000
197178,3,"BR",0.000
197179,1,"SH",5.000
197179,2,"HE",10.000
197179,3,"BR",0.000
197180,1,"SH",5.000
197180,2,"HE",30.000
197180,3,"BR",5.000
197181,1,"SH",5.000
197181,2,"HE",15.000
197181,3,"BR",0.000
197182,1,"SH",5.000
197182,2,"HE",20.000
197182,3,"BR",0.000
197183,1,"SH",5.000
197183,2,"HE",10.000
197183,3,"BR",0.000
197184,2,"HE",5.000
197184,3,"BR",0.000
197185,2,"HE",10.000
197185,3,"BR",0.000
197186,1,"SH",5.000
197186,2,"HE",10.000
197186,3,"BR",0.000
197187,2,"HE",10.000
197187,3,"BR",0.000
197188,2,"HE",20.000
197188,3,"BR",2.000
197189,1,"SH",5.000
197189,2,"HE",10.000
197189,3,"BR",0.000
197190,2,"HE",10.000
197190,3,"BR",0.000
197191,1,"SH",5.000
197191,2,"HE",30.000
197191,3,"BR",5.000
197192,2,"HE",5.000
197192,3,"BR",0.000
197193,1,"SH",5.000
197193,2,"HE",10.000
